Age,Usedfor,Date,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,SidesEffects,UsefulCount,,Sentiment,Topic Discussion
13-18,Kidney Disease from Diabetes,3/13/2009,AmoxID1,5,4,"The only side effect I had was a cough the first month and a half, but I haven't been coughing for a few weeks. I feel fine on it, and hopefully it helps.",4,Female,,4,,,
55-64,High Blood Pressure,3/12/2009,AmoxID1,1,1,It's my 4th day on it.  I have a headache all day.  I never get them. So I think its the meds.  Tomorrow I will call the doctor.  I don't want to get any other reactions.  Also tired.,1,Female,,5,,,
25-34,Nondiabetic Proteinuric Nephropathy,3/12/2009,AmoxID1,1,2,This is Especially for the Ladies.. I was placed on 2.5mg of AmoxID1 to Lower the Protein in my Urine.. Was on this medication about a month and a half before side effects showed.. The following month after starting and the 3 months after that  around the time of my cycle. I expercienced bad stomach pains and cramps (have never had a cramp a day in my life).. Vomiting and Diarrhea severe back pains could not lie down to sleep had to sit up in a chair.. This would last a week to a week and a half each month.. Was finally able to CONVINCE my doctor to take me off of the medicine.. Havent had any of those symptoms again since Ive been off of AmoxID1..   ,1,Female,,5,,,
45-54,High Blood Pressure,3/12/2009,AmoxID1,1,3,fell bad,1,Male,,1,,,
75 or over,High Blood Pressure,3/12/2009,AmoxID1,3,1,"light-headed, sweating, pale",1,Male,,2,,,
55-64,High Blood Pressure,3/12/2009,AmoxID1,2,2,Causes coughing and joint pain,1,Female,,3,,,
55-64,High Blood Pressure,3/12/2009,AmoxID1,1,4,"so far, so good",3,Female,,0,,,
55-64,High Blood Pressure,3/11/2009,AmoxID1,4,2,does not help much with my B/P..developed a chronic cough..disrupted my sleep at night,1,Female,,10,,,
55-64,High Blood Pressure,3/11/2009,AmoxID1,1,1,"Dr put me on this medicine just as I got a bad cold. I had a cough..My cold went away, but the cough is still lingering after 2 weeks of stopping the drug.. I wish I never took it. I can't sleep as I cough all night, my whole body aches from coughing.",1,Female,,9,,,
75 or over,High Blood Pressure,3/11/2009,AmoxID1,1,1,I developed a cough and chest condition which has never gone away.  I stopped takaing it after about a week and half.  i only wish I had stopped earlier.  Is there some hope to get rid of the coughing?????,1,Female,,7,,,
55-64,High Blood Pressure,3/10/2009,AmoxID1,5,3,"Lowered pressure but I Started having light headed spells, headaches,nagging cough, severe neck, shoulder and hip pain. Woke me up and had to keep turning to stop pain.Will see Doctor thursday.",3,Female,,12,,,
55-64,High Blood Pressure,3/10/2009,AmoxID1,1,1,"This drug nearly killed me.  i was sick for three months after starting this drug, with severe congestion, nonstop coughing, bad headaches, hives and flu like symtoms.  My Family Dr. finally decided it was the AmoxID1 that was causing all my symtoms.
I don't have any drug allergies so we didn't realize the Lisinoprel was the sole
cause of all my problems.",1,Female,,15,,,
45-54,High Blood Pressure,3/10/2009,AmoxID1,5,3,"Was on this med approximately 6 months, felt great, and bp was stable around 118/75 to 125/82.  Started having sore throat, cough, vomitting, and dizziness.  Thought I had the flu.  Too dizzy to stand or walk.  Went to ER. BP was 197/100.  Waited 10 hours, was never seen, and went home.  BP had come down to 180/94.  Saw my DR. the next day.  Treated for flu (antibiotic) and increased bp med. 2 weeks later, still sick.  Bp has not come down below 148/88.  After 3 weeks, finally feeling better, but bp is still a little high.  After 1 month, it all comes back again, especially sore throat & cough.  Called DR. and he is taking me off this med.  Now I'll try benicor.  Hopefully, it will work better.",2,Female,,3,,,
55-64,High Blood Pressure,3/10/2009,AmoxID1,4,2,"3/9/09 Just started taking this afternoon, already have side effects.  Sore throat, start of cough, numbness and tingling in hands and feet, and kidney pain in my right kidney.  Not willing to sacrifice my kidneys so my BP will stay down.  Will be calling DR. to change RX.  Also, some light-headenness and pressure in my head.",1,Female,,5,,,
19-24,High Blood Pressure,3/10/2009,AmoxID1,5,4,Currently using AmoxID1 10MG. Controlled my Hypertension within a week of use. Very affordable.,5,Male,,3,,,
45-54,High Blood Pressure,3/9/2009,AmoxID1,5,5,This medication brought my blood pressure down to normal levels. About 28 days into the med program I began experiencing muscle pain and numbness in my left arm. My cough was sporadic. I am now on Losartan.,1,Male,,3,,,
55-64,Heart Attack,3/9/2009,AmoxID1,5,5,I am on 2.5 mg of this medication. I have not had any side affects nor have I been worried about it. I take this medication in the morning just before breakfast.,5,Male,,1,,,
35-44,High Blood Pressure,3/8/2009,AmoxID1,5,5,"I decided to ask my doctor to switch me to a medicine that was cheaper and she put me on AmoxID1.  After taking this medicine for 7 days I called my doctor and went back on Benicar.  I felt horrible on the AmoxID1, very weak, extremely tired, muscle aches and several episodes of dizziness.  It wasn't worth me saving a few dollars a month to feel that miserable. I have NO side effects with the Benicar and it works for me.   ",2,Female,,8,,,
45-54,High Blood Pressure,3/8/2009,AmoxID1,4,4,Have felt muscle pain in my hips since talking drug.,4,Female,,4,,,
75 or over,High Blood Pressure,3/8/2009,AmoxID1,4,3,"I am taking it with bisoprolol/hctz and sometimes amlopipine for high blood pressure. I now have muscle weakness and don't know whether any of these, or a combination of these is causing it. The blood pressure does go down with usage.",3,Female,,1,,,
45-54,Other,3/7/2009,AmoxID1,4,3,"Not really sure why I'm on this drug,I was given the drug for weak heart muscle.",3,Female,,2,,,
55-64,High Blood Pressure,3/7/2009,AmoxID1,5,5,Slight hypertension reduced to normal levels.,5,Male,,5,,,
45-54,High Blood Pressure,3/6/2009,AmoxID1,5,1, ,1,Female,,0,,,
55-64,High Blood Pressure,3/6/2009,AmoxID1,5,4,I was taking this medication for about 4 months went into denial about my blood pressure level started to experience bad feelings and now back on medication ,4,Female,,1,,,
65-74,High Blood Pressure,3/5/2009,AmoxID1,5,3,My doctor switched me from Calan to AmoxID1 because I was retaining too much water.  In addition to being treated for high blood pressure I am being treated for asthma.  No matter what my doctor prescribed to control my coughing spells it did not help.  By accident I discovered that AmoxID1 causes coughing spells in some patients.  I stopped taking AmoxID1 and the coughing spells and asthma have both gone away.  I now take Telmisartan (Micardis) and my blood pressure is just where my doctor thinks it ought to be.,1,Male,,7,,,
35-44,High Blood Pressure,3/5/2009,AmoxID1,4,4, ,4,Female,,0,,,
55-64,High Blood Pressure,3/4/2009,AmoxID1,4,4,"as,not being to bad to me.",4,Male,,0,,,
55-64,Heart Attack,3/4/2009,AmoxID1,5,5, ,5,Male,,0,,,
35-44,High Blood Pressure,3/4/2009,AmoxID1,5,2,"Coughing, extreme itchiness in my hands and wrists, unbeleivable foot and toe cramps-sometimes 7-10 a night, the pads of my feet are very tender and they feel bruised constantly.  My feet are always cold.  ",3,Female,,7,,,
75 or over,High Blood Pressure,3/3/2009,AmoxID1,4,4,itchy rash,4,Male,,2,,,
.,Heart Attack,3/3/2009,AmoxID1,5,5, ,5,Female,,0,,,
55-64,High Blood Pressure,3/3/2009,AmoxID1,4,3,"I've taken this Medicine, 30 mg daily with HTCZ 25 mg, since 1989. It has worked for me well, until first of year, then numbers started edging up to 140/90 in late Jan. Until then, BP consistently around 117/80. Had to add, daily, Norvasc 10 mg to bring BP back to normal. I have endured these years with such side effects of: periodic times of wavy blue lines in northwest corner of my vision,short breath when carrying any weight of 25+ pounds upstairs ie... boxes, groceries, etc... .  insomnia, right calf ache periodically, ED, and at times, listlessness.  ",3,Male,,6,,,
35-44,High Blood Pressure,3/2/2009,AmoxID1,1,1,"i took this medication for 3 days, my stomach is so upset i dont know if i want to eat or throw up.i got a horrible rash on my right hand, called the doc. today, but i will never take that pill again. ",1,Female,,8,,,
75 or over,Kidney Disease from Diabetes,3/2/2009,AmoxID1,3,3, ,3,Female,,0,,,
55-64,High Blood Pressure,3/2/2009,AmoxID1,5,1,dizziness and heavy feeling in the legs,1,Female,,2,,,
55-64,High Blood Pressure,3/2/2009,AmoxID1,1,.,"Was prescribed this medicine for HBP, which it did work, but after using it for approximately 6 mos., I developed an allergy, swelling of face, throat and could not swallow.  After being rushed to the emergency room and giving them the list of my meds, the ER Doctor knew immediatly what caused the reaction and was able to reverse the effect.  This medicine almost took my life.",1,Female,,10,,,
65-74,Other,3/2/2009,AmoxID1,1,1,Took for nine days. Extreme fatigue; could not get out of bed hardly. Pharmacist said not to take my Benicar while takiing this med. After nine days I stopped the Lisin and resumed Benicar and strength returned.,1,Female,,4,,,
65-74,High Blood Pressure,3/1/2009,AmoxID1,3,5,"I switched to AmoxID1 February, 2008 due to cost of diovan.  Very effective in maintaining blood pressure 118/72.  Developed annoying dry cough, worse at night.  Difficulty sleeping. Increased nasal mucus which I thought was allergy related.  Planning to change next week after consulting with my internist.",2,Male,,5,,,
65-74,High Blood Pressure,3/1/2009,AmoxID1,5,5,works great. blood pressure stays aroung 128/68.,5,Female,,3,,,
55-64,High Blood Pressure,3/1/2009,AmoxID1,4,3,"About 4 years ago I complained to my Dr. that the Zestril I was taking wasn't working anymore,(I read my pressure at home),so she put me on AmoxID1,little did I know it was the same med. My pressure did come down but I felt tired.  I also suffer from depression and anxiety,so I contributed alot of the side effects to that. I started having chest discomfort,like a throbby heart beat and then skipping beats and the Dr. raised my antidepressants,but I still had that chest discomfort. I went through a battery of heart tests and all were negative,my heart was in good condition,BUT the discomfort would come and go.  Last summer I developed a pain in my left side and my vision was getting blurry. I saw the Eye Dr. and I had an eye infection,which seems to return each spring for the past 2 years.  The chest discomfort was really bad the past 2 years and I had no idea that this med was noted for this condition.  I saw my Dr. 2 days ago because I'm sick of feeling this bad,she didn't change the meds.just said that she thought maybe I needed some more tests on my heart.  After reading all of these reviews,I now know that the AmoxID1 is responsible for them.  I trusted my Dr. to help me but when I point out that the meds are the cause of my discomfort and it is ignored,I have to wonder just how much she really does know. My BP is down and has been,but these side effects are killing me,as I can't sleep at night,I have the sinsus drainage,and a general feeling of unwellness,not to mention leg pain.  I love to read but everytime I set down to read I fall asleep and after reading a few pages,my vision is so blurry I can't see the words on the pages,I had my eyes examined and changed glasses last spring and I still can't see good.",1,Female,,20,,,
45-54,High Blood Pressure,2/28/2009,AmoxID1,5,5, ,4,Female,,2,,,
55-64,High Blood Pressure,2/28/2009,AmoxID1,3,3,"Not sure which of these is relevant, but on the two weeks I've been on the drug I've noticed the following: light-headedness, throbbing at the back of my head (left side), a fever blister,loud ringing in the ears at night, sharp,temporary pain in left kidney, itchiness on right forearm, cramps in left foot, blue zig-zag streak several times at night with my eyes closed, slight nausea for several days.   
",1,Male,,10,,,
45-54,High Blood Pressure,2/28/2009,AmoxID1,2,2,tired,2,Male,,2,,,
25-34,High Blood Pressure,2/28/2009,AmoxID1,5,1,This medication has caused me kidney failure ive always suffered wit my kidneys having to much protein in my urine but the dr kept prescribed me AmoxID1,1,Female,,5,,,
65-74,High Blood Pressure,2/28/2009,AmoxID1,5,5, ,5,Male,,1,,,
